,mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z
132,-179203.12565224565,3.099997834150624,38.600955567184194,29.299325252023234,1000.2644901732168,1.370770493360698,-1.2599907280482907,2.7597870426919924,4.979415941100581e-05,2.919159411005813e-06,2.919159411005813e-06
133,-179202.68138219087,3.0999996608665024,38.597033687229754,29.302232386495458,999.5385401398157,1.3699736263704572,-1.2599626903145742,2.760738553822495,5.127387658774999e-05,4.398876587749979e-06,4.398876587749979e-06
134,-179203.14420946245,3.0999973639145884,38.60151745346906,29.29890534864582,1000.3143448023627,1.3704057275439325,-1.2600698034036069,2.7594058819901024,5.0123267983981856e-05,3.248267983981862e-06,3.248267983981862e-06
135,-179202.94971697973,3.1000036718850135,38.597671738025554,29.301664054055692,999.8564640512202,1.37008592108298,-1.2600148709569166,2.759726908354078,5.1136304939206786e-05,4.261304939206792e-06,4.261304939206792e-06
136,-179203.16176418966,3.1000010997530008,38.59881164733338,29.300861634649277,999.9585754145845,1.3701724849923784,-1.260025171510395,2.7597648645806436,5.0831803085252035e-05,3.956803085252048e-06,3.956803085252048e-06
137,-179202.85535035376,3.1000013333606633,38.599494629910836,29.300353561831017,1001.3988797513362,1.3699752073832228,-1.2599948667493286,2.759960679471621,4.91092936422527e-05,2.234293642252688e-06,2.234293642252688e-06
138,-179203.17218936363,3.0999977969851122,38.599980385883526,29.300049226103592,999.546100492508,1.3703546689825594,-1.260049411487643,2.759738879279735,5.1097116808933364e-05,4.222116808933379e-06,4.222116808933379e-06
139,-179202.92329029058,3.099998640410141,38.60179876709816,29.29869383373576,999.8245187328448,1.3703423671703372,-1.2596203190289614,2.7598049763048755,5.104008485657271e-05,4.16508485657271e-06,4.16508485657271e-06
140,-179203.16934866365,3.0999989541905393,38.599096074351806,29.300684362283555,1000.213685010227,1.3702011731624193,-1.260187594185351,2.7598065096419253,5.0290244138285e-05,3.415244138285009e-06,3.415244138285009e-06
141,-179202.93708227208,3.100000493251165,38.602804326698674,29.297971864318367,999.7239622243632,1.3700629587836224,-1.2601027466777945,2.759977674819918,5.079977160034464e-05,3.924771600344644e-06,3.924771600344644e-06
142,-179203.1740060157,3.0999982463009723,38.59883157983294,29.300872225498864,1000.23517843935,1.370311834391101,-1.259983047352189,2.7597416838097413,5.041160497263251e-05,3.5366049726325214e-06,3.5366049726325214e-06
143,-179202.9957895611,3.100001355209138,38.59864107535671,29.300911934538735,999.7559404158055,1.3700590659758616,-1.2601543885588724,2.7599486757852283,5.0986292222110594e-05,4.111292222110614e-06,4.111292222110613e-06
144,-179203.19810471675,3.099998016689657,38.60055836892111,29.299648742065102,1000.2018859419345,1.3703029243770328,-1.2599686691186847,2.759762391406507,5.035783334895829e-05,3.4828333489582892e-06,3.482833348958289e-06
145,-179203.12017897266,3.10000046141615,38.59880352391446,29.300879087534174,999.8294638469764,1.3695792693291868,-1.2600660113632833,2.7598569994497373,5.14532146566028e-05,4.57821465660281e-06,4.57821465660281e-06
146,-179203.20173869087,3.099998490967005,38.600417565016016,29.299713685773384,1000.1557335916567,1.3704726873528201,-1.2600095488770389,2.7598045318814286,5.020892322240506e-05,3.3339232224050623e-06,3.3339232224050623e-06
147,-179203.09941695604,3.1000011570626693,38.59802161527262,29.301460785798852,999.7478869756894,1.3699574271077295,-1.259974885102653,2.760317890129893,5.11412371313114e-05,4.266237131311401e-06,4.266237131311399e-06
148,-179203.2103325614,3.099998312201609,38.60064351738238,29.299544140563583,1000.1727303456944,1.3702936524348819,-1.2600460738283683,2.75963388402505,5.037776027081424e-05,3.5027602708142467e-06,3.5027602708142462e-06
149,-179203.13709248757,3.0999981834175787,38.5996678354014,29.300274780895876,1000.0967778471909,1.3704218851386387,-1.260053903271934,2.7596505489250056,5.50900571694561e-05,-1.053494283054389e-05,8.215057169456111e-06
150,-179203.20766208824,3.099999545854395,38.5999169591276,29.300068694507882,1000.0241944617977,1.3701054712846599,-1.2600134758179835,2.7599126372312512,4.8928764292364026e-05,9.085014292364029e-06,2.053764292364028e-06
151,-179203.15157508594,3.099996772884858,38.601077224391716,29.299254635452286,1000.1513262420491,1.3702359974047167,-1.2600263926230566,2.7599152388744845,5.075264632562645e-05,2.1588963256264587e-06,3.877646325626458e-06
152,-179203.2113155088,3.1000000180359653,38.59937805080758,29.300459857628972,1000.0067631214506,1.370188363095463,-1.2600254767885604,2.7598024581541036,5.0812013895345636e-05,3.507326395345651e-06,3.93701389534565e-06
153,-179203.15078424505,3.0999991312164052,38.600849200138626,29.299386982732948,999.8548322686515,1.3702047472212842,-1.2598315464687422,2.7598727835156387,5.1398559224005636e-05,2.7188717240056263e-06,4.5235592240056265e-06
