,mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z,chirp,q
14670,-171374.20660721237,3.1007944050121043,47.742581078107456,24.330214249981637,1064.4728133924182,1.413232608334833,-1.2812984586510725,3.2024821963872263,0.0005919591737054051,0.14564751371809234,-0.0041710528144438316,29.341129168753536,1.9622754073422715
14671,-171374.49194376793,3.1007849279813087,47.738590112261946,24.33168033194068,1062.6019216377015,1.414621773270275,-1.281660858314393,3.202780956340008,0.0005918713484916994,0.14542774874758424,-0.004169604585452606,29.340923839230662,1.961993148890525
14672,-171372.37226472056,3.100779466122379,47.73613040061694,24.33246789657532,1062.7451996579164,1.4147351340047596,-1.2822351546536668,3.2024573423320595,0.0005910930653188365,0.14537230003979568,-0.004169254545643895,29.340722714626686,1.9618285577738532
14673,-171374.469470014,3.1007952529094416,47.74294505095793,24.329999712283684,1064.4120703303342,1.4133633510259012,-1.2814016378643382,3.2025408564512556,0.0005919976244238794,0.1456101626915691,-0.004170821363119775,29.34109597879175,1.9623076701827316
14674,-171374.61233830045,3.1007913139665737,47.73348053330272,24.33423316041051,1064.6267152305131,1.4134420922012914,-1.2823642142498983,3.2013471225724235,0.0005894397871310912,0.14560198483370498,-0.004171079847147634,29.341094598026228,1.9615773473791056
14675,-171374.75821307098,3.1007882441615013,47.73192989520868,24.334904187373155,1062.3388841787905,1.4146424997857587,-1.2818298517516284,3.2021167846083323,0.0005905026561350997,0.14548779258433775,-0.004170090064138241,29.341079768932822,1.961459536790604
14676,-171374.2755227552,3.1007996523143238,47.72699340076186,24.337657967847708,1062.291013416966,1.4141843050292688,-1.2813427509812092,3.2015723005895476,0.0005897097716697872,0.1456789627105025,-0.004171421000811819,29.34142877827511,1.9610347661148673
14677,-171374.16191043722,3.100781899996976,47.736802152216484,24.332386154309248,1062.7358607615495,1.4147413577281323,-1.2821315914746454,3.202517184939934,0.000591189508122752,0.1453771208450388,-0.0041693263944336065,29.340863264798678,1.9618627556493193
14678,-171375.10326550793,3.1007902951005923,47.730335524709794,24.335750168964292,1063.6814921889186,1.4138893847071565,-1.282204988595526,3.201371874146106,0.0005893090402012474,0.14558610213796636,-0.00417096410841602,29.34116465743459,1.961325835173182
14679,-171374.41966102086,3.1007904369984614,47.72466368827329,24.338457950968824,1063.9621964254402,1.4137300969970825,-1.2825951767076047,3.2005889563700913,0.0005877651743445289,0.14563646084169557,-0.004171511637400545,29.34127264011849,1.9608745872239433
14680,-171373.80743567194,3.100800085429193,47.73391809370199,24.33437336807087,1064.2548414287182,1.413185592502134,-1.281512688916426,3.201563336745541,0.0005901402104088788,0.14573616228202108,-0.0041718343072258655,29.3413103632299,1.961584026500294
14681,-171374.85036952927,3.1007864463550305,47.73608116635571,24.332882919474795,1063.1156059283417,1.4143524164216328,-1.2819768658350905,3.202278722891336,0.0005909271836942837,0.14546688120428436,-0.004169953372631671,29.340975039406484,1.961793073362063
14682,-171374.21375831604,3.1007859886826505,47.72683830164875,24.337080703382156,1062.246447305034,1.4149183035127932,-1.2824815031768029,3.201557630599071,0.0005891641468240014,0.14542964290620594,-0.004169887998853207,29.341013633405627,1.9610749080113
14683,-171374.82924670342,3.100788092765014,47.73077432657267,24.335363470677947,1062.80303882688,1.4144968797183033,-1.2821857420453702,3.2017887720461093,0.0005898629035443523,0.14548411060917754,-0.004170179202750863,29.341042517242606,1.9613750328440427
14684,-171374.10200588574,3.1007955807184597,47.7256814453237,24.338223143157784,1061.7932320894984,1.4145817570864792,-1.2814809653701675,3.2016210872675464,0.0005895800736766207,0.14561481208999294,-0.004171028137114676,29.34141446708967,1.9609353223775026
14685,-171374.8461592935,3.100787914885426,47.73760353728397,24.33214567561347,1063.8774557557058,1.4139382709621247,-1.2820803318842802,3.2021405806468697,0.0005908424106451902,0.14550318218258626,-0.004170224857236504,29.340939140846174,1.961915080309924
14686,-171374.26554050087,3.100778940526106,47.74238692713628,24.329583677946,1064.3917041180553,1.414072020831121,-1.2825658512918903,3.2024761877961074,0.0005913600194366278,0.14536666548735777,-0.004169325004864909,29.340668460093788,1.9623182853890446
14687,-171374.85128343815,3.1007944743672695,47.73084225443517,24.33563864534114,1062.8161860922382,1.4141562339797318,-1.2816485260588795,3.2017982723911875,0.0005901223336114974,0.14560088840471633,-0.004170897001825092,29.34123869872978,1.9613556459334116
14688,-171374.46337882106,3.1007831842225535,47.72401457014682,24.338370324576083,1061.951470357068,1.4150515514252553,-1.28255634204767,3.201359115122388,0.0005886971085200589,0.14543361064892066,-0.004169939770298015,29.34102980356475,1.9608549764713166
14689,-171374.8997435153,3.1007922357377193,47.738212923963836,24.33209145463822,1063.7969203370176,1.4137854011257396,-1.2816903139101712,3.2022454211190388,0.0005911724954479243,0.14556602468090699,-0.004170600964914334,29.341079434984998,1.9619444967548778
14690,-171374.2946233045,3.100794970701969,47.72829487447768,24.336770348548022,1064.000618789564,1.4136258547519744,-1.282303012716771,3.201011908189442,0.0005886836138434841,0.14564367977957016,-0.00417135582385753,29.34123306227672,1.9611597673363934
14691,-171374.9275121542,3.1007874386614738,47.73601648909909,24.332952525621206,1062.951595925667,1.4143727936407,-1.2818213969149874,3.2023386943023664,0.0005910744148296455,0.14548173150558072,-0.004170042395053837,29.341001144992177,1.961784803501992
