mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z,chirp,q
4776.353860423624,0.0,1230.8795131319334,218.53647324230258,9999.9999995,0.0,-4.0,0.0,4.0,-1.0,-0.9851935892129347,422.2844355868408,5.632375661920719
4776.348168155043,0.0,1230.8795131319334,218.53647324230258,10000.0,3e-07,-4.0,0.0,4.0,-1.0,-0.9851935892129347,422.2844355868408,5.632375661920719
4776.356165703113,0.0,1230.8795131319334,218.53647324230258,10000.0,0.0,-3.9999997,0.0,4.0,-1.0,-0.9851935892129347,422.2844355868408,5.632375661920719
4776.360209316099,0.0,1230.8795131319334,218.53647324230258,10000.0,0.0,-4.0,3e-07,4.0,-1.0,-0.9851935892129347,422.2844355868408,5.632375661920719
4776.356309479913,0.0,1230.8795131319334,218.53647324230258,10000.0,0.0,-4.0,0.0,3.9999998000000003,-1.0,-0.9851935892129347,422.2844355868408,5.632375661920719
4776.352079337134,0.0,1230.8795131319334,218.53647324230258,10000.0,0.0,-4.0,0.0,4.0,-0.99999999,-0.9851935892129347,422.2844355868408,5.632375661920719
4776.354216461183,0.0,1230.8795131319334,218.53647324230258,10000.0,0.0,-4.0,0.0,4.0,-1.0,-0.9851935792129346,422.2844355868408,5.632375661920719
486.143379650765,10.000000000000002,2447.7839985847804,122.389199929239,9975.616486989735,5.868288515924965,-4.0,7.5,0.0,-0.22620521628023016,-1.0,401.7142467582253,20.000000000000004
486.14275312836423,9.99999985,2447.7839985847804,122.389199929239,9975.616486989735,5.868288515924965,-4.0,7.5,0.0,-0.22620521628023016,-1.0,401.7142467582253,20.000000000000004
486.143364689416,10.000000000000002,2447.7840046781266,122.38920023390631,9975.616486989735,5.868288515924965,-4.0,7.5,0.0,-0.22620521628023016,-1.0,401.71424775822527,20.000000000000004
486.14341395597773,10.000000000000002,2447.783987744594,122.38920030514869,9975.616486989735,5.868288515924965,-4.0,7.5,0.0,-0.22620521628023016,-1.0,401.7142467582253,19.999999850000005
486.1433796040669,10.000000000000002,2447.7839985847804,122.389199929239,9975.616487489735,5.868288515924965,-4.0,7.5,0.0,-0.22620521628023016,-1.0,401.7142467582253,20.000000000000004
486.1433360254866,10.000000000000002,2447.7839985847804,122.389199929239,9975.616486989735,5.868288815924964,-4.0,7.5,0.0,-0.22620521628023016,-1.0,401.7142467582253,20.000000000000004
486.143340969545,10.000000000000002,2447.7839985847804,122.389199929239,9975.616486989735,5.868288515924965,-3.9999997,7.5,0.0,-0.22620521628023016,-1.0,401.7142467582253,20.000000000000004
486.1434377427432,10.000000000000002,2447.7839985847804,122.389199929239,9975.616486989735,5.868288515924965,-4.0,7.4999997,0.0,-0.22620521628023016,-1.0,401.7142467582253,20.000000000000004
486.1433796507464,10.000000000000002,2447.7839985847804,122.389199929239,9975.616486989735,5.868288515924965,-4.0,7.5,2e-07,-0.22620521628023016,-1.0,401.7142467582253,20.000000000000004
486.1434001982061,10.000000000000002,2447.7839985847804,122.389199929239,9975.616486989735,5.868288515924965,-4.0,7.5,0.0,-0.2262052062802301,-1.0,401.7142467582253,20.000000000000004
486.1433867394851,10.000000000000002,2447.7839985847804,122.389199929239,9975.616486989735,5.868288515924965,-4.0,7.5,0.0,-0.22620521628023016,-0.99999999,401.7142467582253,20.000000000000004
3155.359664333543,0.0,1805.7555354752599,220.73572682569977,9954.629205836973,0.0,-4.0,7.5,0.0,-1.0,-1.0,500.0,8.180621965655538
3155.357064674915,1.5e-07,1805.7555354752599,220.73572682569977,9954.629205836973,0.0,-4.0,7.5,0.0,-1.0,-1.0,500.0,8.180621965655538
3155.3597016216067,0.0,1805.755531863749,220.73572638422831,9954.629205836973,0.0,-4.0,7.5,0.0,-1.0,-1.0,499.999999,8.180621965655538
3155.3593675632737,0.0,1805.755554620166,220.73572511856142,9954.629205836973,0.0,-4.0,7.5,0.0,-1.0,-1.0,500.0,8.18062211565554
3155.3596640202395,0.0,1805.7555354752599,220.73572682569977,9954.629206336973,0.0,-4.0,7.5,0.0,-1.0,-1.0,500.0,8.180621965655538
3155.358434996144,0.0,1805.7555354752599,220.73572682569977,9954.629205836973,3e-07,-4.0,7.5,0.0,-1.0,-1.0,500.0,8.180621965655538
3155.3593905411435,0.0,1805.7555354752599,220.73572682569977,9954.629205836973,0.0,-3.9999997,7.5,0.0,-1.0,-1.0,500.0,8.180621965655538
3155.35940504625,0.0,1805.7555354752599,220.73572682569977,9954.629205836973,0.0,-4.0,7.4999997,0.0,-1.0,-1.0,500.0,8.180621965655538
